from_name,to_name
步步惊心,中国大陆
一路向西,中国香港
笑傲江湖,中国香港
暮光之城,美国
北京爱情故事,中国内地
爱情公寓,乌克兰
金瓶梅,中国台湾
小时代,中国
AV,中国香港
复仇者联盟,美国
十二生肖,中国香港
十二生肖,中国
名侦探柯南剧场版,日本
金瓶梅,中国香港
喜爱夜蒲,中国香港
致我们终将逝去的青春,中国大陆
泰坦尼克号,美国
金瓶梅,香港
西游·降魔篇,中国大陆
哈利·波特,英国
仙剑奇侠传,中国内地
红楼梦,中国北京
水浒传,中国香港
泰坦尼克号,加拿大
泰坦尼克号,美国[1]
进击的巨人,日本
失恋33天,中国大陆
生活大爆炸,美国
西游记,中国香港
盗梦空间,美国
黑执事,日本
2012,美国
速度与激情7,美国
雷锋,中国大陆
兰陵王,中国
生化危机,美国
倚天屠龙记,中国香港
倚天屠龙记,中国香港
非诚勿扰,中国内地
怪侠一枝梅,中国香港
怪侠一枝梅,中国香港
古惑仔,中国香港
城市猎人,香港
肖申克的救赎,美国
僵尸,中国香港
金陵十三钗,中国大陆
诸葛亮,中国
盗墓笔记,中国
阿凡达,美国
阿凡达,英国
死亡笔记,日本
死亡笔记,日本
天涯明月刀,中国香港
色即是空,韩国
蝴蝶效应,美国
赛尔号之寻找凤凰神兽,中国
苹果,中国内地
生化危机,英国
生化危机,德国
生化危机,法国
初恋这件小事,泰国
双色球,中国
下水道的美人鱼,日本
男人帮,中国大陆
黄色,波多黎各
黄色,美国
色欲迷墙,日本
秘密花园,中国大陆
阿凡达,日本
匆匆那年,中国大陆
武林外传,中国大陆
幸福的黄色电影,丹麦
幸福的黄色电影,西班牙
变形金刚,美国
蜜桃成熟时33D,香港
男人帮,法国
苹果,韩国
苹果,伊朗
苹果,法国
让子弹飞,中国大陆
让子弹飞,中国香港
千与千寻,日本
花样男子,日本
4D肉蒲团之扶桑千人斩,香港
青春期,中国大陆
变形金刚4：绝迹重生,美国
花样男子,日本
速度与激情,美国
加勒比海盗,美国
龙门飞甲,中国香港
龙门飞甲,中国大陆
喜爱夜蒲2,中国香港
色戒,意大利
色戒,法国
色戒,印度
色戒,德国
色戒,瑞士
情人节,美国
电锯惊魂,美国
长城,中国
长城,美国
这个杀手不太冷,法国
这个杀手不太冷,美国
少年派的奇幻漂流,美国
少年派的奇幻漂流,中国台湾
七宗罪,美国
射雕英雄传,中国香港
教父,美国
情人节,泰国
阿甘正传,美国
霸王别姬,中国大陆
霸王别姬,中国香港
不二神探,中国大陆
乱世佳人,美国
叶问,中国香港
四平青年,中国大陆
天空之城,日本
情书,日本
蜗居,中国
生化危机 6,美国
叶问,中国内地
暹罗之恋,泰国
索多玛120天,法国
索多玛120天,意大利
万圣节,美国
