from_name,to_name
步步惊心,宋迪
一路向西,胡耀辉
笑傲江湖,孙仲
暮光之城,凯瑟琳·哈德威克
北京爱情故事,陈思诚
爱情公寓,艾伦·波多耶夫
金瓶梅,毛胜
小时代,郭敬明
AV,彭浩翔
复仇者联盟,乔斯·韦登
十二生肖,成龙
十二生肖,中国香港
名侦探柯南剧场版,儿玉兼嗣
名侦探柯南剧场版,山本泰一郎
名侦探柯南剧场版,静野孔文
名侦探柯南剧场版,立川让
名侦探柯南剧场版,永冈智佳
金瓶梅,钱文锜
喜爱夜蒲,钱国伟
致我们终将逝去的青春,赵薇
十二生肖,沈如东
十二生肖,伍仲文
十二生肖,龚金福
泰坦尼克号,詹姆斯·卡梅隆
金瓶梅,王引
西游·降魔篇,周星驰
西游·降魔篇,郭子健
哈利·波特,克里斯·哥伦布
哈利·波特,大卫·叶茨等
鲁迅,丁荫楠
红楼梦,龚应恬[3]
水浒传,张彻
泰坦尼克号,Robert
泰坦尼克号,Lieberman
泰坦尼克号,I
进击的巨人,樋口真嗣
失恋33天,滕华涛
生活大爆炸,马克·森德罗斯基
西游记,何梦华
盗梦空间,克里斯托弗·诺兰
黑执事,大谷健太郎
黑执事,佐藤敬一
2012,罗兰·艾默里奇
速度与激情7,温子仁
雷锋,董兆琪
兰陵王,胡雪桦
倚天屠龙记,楚原
倚天屠龙记,杨工良
非诚勿扰,冯小刚
怪侠一枝梅,刘观伟
怪侠一枝梅,任彭年
古惑仔,刘伟强
城市猎人,王晶
肖申克的救赎,弗兰克·达拉邦特
僵尸,麦浚龙
金陵十三钗,张艺谋
诸葛亮,柯俊雄
盗墓笔记,李仁港
阿凡达,詹姆斯·卡梅隆
死亡笔记,金子修介
死亡笔记,中田秀夫
死亡笔记,佐藤信介
死亡笔记,金子修介
天涯明月刀,楚原
色即是空,尹济均
蝴蝶效应,埃里克·布雷斯
蝴蝶效应,J·麦凯伊·格鲁伯
赛尔号之寻找凤凰神兽,刘虹
苹果,李玉
生化危机,保罗·安德森
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林
双色球,陈卫国
下水道的美人鱼,日野日出志
男人帮,赵宝刚
男人帮,王雷
黄色,阿尔弗雷多·德维拉
色欲迷墙,山本政志
秘密花园,唐丹
阿凡达,和田笃司
匆匆那年,张一白
武林外传,尚敬
幸福的黄色电影,帕布罗·伯格
变形金刚,迈克尔·贝
蜜桃成熟时33D,钱文锜
男人帮,盖尔·莫雷尔
苹果,康理贯
苹果,莎米拉·玛克玛尔巴夫
让子弹飞,姜文
