from_name,to_name
一路向西,中国3D数码娱乐有限公司[1]
暮光之城,顶峰娱乐公司
北京爱情故事,万达
北京爱情故事,中影
爱情公寓,Top
爱情公寓,Film
金瓶梅,协和育乐股份有限公司
小时代,中影
小时代,大盛
小时代,乐视影业
复仇者联盟,华特·迪士尼电影工作室
复仇者联盟,美国
复仇者联盟,华夏电影发行有限责任公司
复仇者联盟,中国大陆
十二生肖,华谊兄弟
喜爱夜蒲,中国香港美亚娱乐有限公司
致我们终将逝去的青春,光线传媒
致我们终将逝去的青春,中影
泰坦尼克号,二十世纪福斯电影公司
泰坦尼克号,美国
泰坦尼克号,派拉蒙影业公司
泰坦尼克号,美国
金瓶梅,卲氏兄弟公司
西游·降魔篇,安乐影片
哈利·波特,华纳兄弟电影公司
水浒传,邵氏兄弟
水浒传,香港
水浒传,有限公司
进击的巨人,日本东宝株式会社
失恋33天,中国电影集团公司
生活大爆炸,哥伦比亚广播公司
生活大爆炸,CBS
盗梦空间,华纳兄弟电影公司
2012,哥伦比亚影片公司
速度与激情7,环球影业
雷锋,八一电影制片厂
兰陵王,南方影业有限公司
非诚勿扰,华谊兄弟传媒
非诚勿扰,寰亚电影
怪侠一枝梅,银都机构有限公司
古惑仔,嘉禾
古惑仔,最佳拍档
僵尸,Fortissimo
僵尸,Film
盗墓笔记,世纪长龙影视有限公司
死亡笔记,日本华纳
天涯明月刀,洲立影视有限公司
色即是空,Showbox
蝴蝶效应,New
蝴蝶效应,Line
蝴蝶效应,Cinema
赛尔号之寻找凤凰神兽,上海淘米网络科技有限公司上海天娱传媒有限责任公司
苹果,Film
苹果,Distribution
生化危机,Screen
生化危机,Gems
生化危机,Inc
双色球,发条电影
男人帮,北京鑫宝源影视投资有限公司
秘密花园,中国电影股份有限公司
秘密花园,浙江天鹏传媒有限公司
匆匆那年,北京小马奔腾影业有限公司等
变形金刚,派拉蒙影业公司
蜜桃成熟时33D,千勋企业
男人帮,TLA
男人帮,Releasing
苹果,Cheongeoram
花样男子,东宝映画
青春期,广西南宁影视文化传播有限公司
变形金刚4：绝迹重生,派拉蒙影业公司
变形金刚4：绝迹重生,美国
花样男子,东映动画
花样男子,富士电视台
速度与激情,环球影业
加勒比海盗,博伟国际
情人节,新线电影公司
情人节,华纳兄弟影片公司
电锯惊魂,狮门影业
长城,乐视影业
长城,北京
长城,有限公司
长城,中国
少年派的奇幻漂流,二十世纪福斯电影公司
教父,派拉蒙影业
情人节,Five
情人节,Star
情人节,Production
情人节,Co
情人节,Ltd
阿甘正传,派拉蒙影业
霸王别姬,汤臣
霸王别姬,香港
霸王别姬,电影有限公司
不二神探,北京光线影业有限公司
四平青年,淘梦网
天空之城,Buena
天空之城,Vista
天空之城,Home
天空之城,Entertainment
情书,日本富士电视台
生化危机 6,幕宝电影公司
生化危机 6,美国
万圣节,帝门
万圣节,Dimension
钢铁侠3,华特·迪士尼电影工作室
钢铁侠3,美国
钢铁侠3,印纪影视娱乐传媒有限公司
钢铁侠3,中国
寂静岭,20世纪福克斯家庭娱乐公司
电锯惊魂,狮门影业家庭娱乐公司
电锯惊魂,美国
3D豪情,娱艺电影发行
赵氏孤儿,上海东方影视发行有限责任公司
死神来了,新线电影公司
龙猫,东宝株式会社
钢铁侠,派拉蒙影业公司
色·戒,Blue
色·戒,Sky
色·戒,Media
乱世佳人,华成影片公司
乱世佳人,华电影片公司
敢死队2,狮门影业
我是传奇,华纳兄弟影片公司
白鹿原,华夏电影发行有限责任公司
情书,梦工厂电影发行公司
情书,[美国]
情书,1999
情书,USA
情书,theatrical
情书,等
青春失乐园,芭乐
星球大战,20世纪福克斯公司
奋斗,乔长浩电影策划工作室
鸿门宴,北京光线影业有限公司
五十度灰,焦点电影公司
五十度灰,环球影业
速度与激情,环球影业
大话西游,寰亚综艺集团
爱,索尼经典
V字仇杀队,Fox-Warner
星际穿越,华纳兄弟电影公司
天天向上,长春电影制品厂
晚娘,Applause
晚娘,Pictures
晚娘,Cinemasia
后会无期,天津博纳文化
后会无期,华夏电影发行
银河护卫队,华特迪士尼影业
环太平洋,华纳兄弟
敢死队,狮门影业
百合,华夏电影发行有限责任公司
傲慢与偏见,焦点电影公司
同桌的你,北京聚合影联文化传播有限公司
玉蒲团,Indigo
玉蒲团,Media
人在囧途,北京中映联合影视文化发展有限公司
人在囧途,华夏电影发行有限责任公司等
喜爱夜蒲3,美亚娱乐
玉蒲团,今性堂制作发行有限公司
玉蒲团,[香港]
玉蒲团,嘉禾娛樂事業有限公司
玉蒲团,香港
教父,派拉蒙影业
玉蒲团,今性堂製作發行有限公司
玉蒲团,香港
歌舞青春,华特迪士尼公司
人再囧途之泰囧,北京光线影业有限公司
热血高校,东宝映画
玉蒲团,今性堂制作发行有限公司
玉蒲团,[香港]
玉蒲团,今性堂制作发行有限公司
玉蒲团,[香港]
狄仁杰之神都龙王,华谊兄弟传媒股份有限公司
狄仁杰之神都龙王,中国
蜂蜜,AP
蜂蜜,Manana
美国队长,派拉蒙影业
断背山,派拉蒙影业
速度与激情5,环球影业
复仇者联盟2：奥创纪元,华特·迪士尼电影工作室
心花路放,中影集团
心花路放,影联传媒
心花路放,摩天轮文化传媒
三生三世十里桃花,阿里影业
天与地,东映株式会社
猩球崛起,二十世纪福克斯电影公司
铁钩船长,哥伦比亚三星电影发行公司
貂蝉,新华影业公司
貂蝉,丽儿彩色影片公司
美国派,环球影片公司
