from_name,to_name
步步惊心,中文
步步惊心,普通话
一路向西,粤语
一路向西,普通话
笑傲江湖,粤语
笑傲江湖,普通话
暮光之城,英语
北京爱情故事,汉语普通话
爱情公寓,乌克兰语
爱情公寓,俄语
爱情公寓,英语
金瓶梅,中文
小时代,汉语普通话
复仇者联盟,英语
复仇者联盟,粤语
复仇者联盟,普通话
十二生肖,汉语普通话
十二生肖,英语
十二生肖,法语
名侦探柯南剧场版,日语
金瓶梅,粤语
喜爱夜蒲,粤语
致我们终将逝去的青春,普通话
泰坦尼克号,英语
西游·降魔篇,粤语
西游·降魔篇,普通话
哈利·波特,英语
仙剑奇侠传,汉语普通话
鲁迅,普通话
红楼梦,中州韵
红楼梦,京白
泰坦尼克号,英语
进击的巨人,日语
失恋33天,汉语普通话
西游记,汉语普通话
盗梦空间,英语
盗梦空间,普通话
盗梦空间,公映版
黑执事,日语
2012,英语
速度与激情7,英语
兰陵王,普通话
生化危机,英语
倚天屠龙记,粤语
倚天屠龙记,普通话
倚天屠龙记,粤语
非诚勿扰,普通话
非诚勿扰,日语
怪侠一枝梅,粤语
怪侠一枝梅,粤语
古惑仔,粤语
古惑仔,普通话
古惑仔,英语
古惑仔,日语
城市猎人,粤语
肖申克的救赎,英语
僵尸,粤语
金陵十三钗,汉语普通话
金陵十三钗,英语
金陵十三钗,南京话
金陵十三钗,日语
盗墓笔记,汉语普通话
阿凡达,英语
阿凡达,西班牙语
死亡笔记,日语
死亡笔记,日语
天涯明月刀,普通话
色即是空,韩语
蝴蝶效应,英语
赛尔号之寻找凤凰神兽,中文
苹果,普通话
生化危机,英语
初恋这件小事,泰语
双色球,中文
下水道的美人鱼,日语
黄色,英语
黄色,西班牙语
色欲迷墙,日语
秘密花园,汉语
阿凡达,日语
匆匆那年,普通话
武林外传,汉语普通话
幸福的黄色电影,丹麦语；西班牙语
变形金刚,英语
变形金刚,粤语
蜜桃成熟时33D,粤语
蜜桃成熟时33D,普通话
让子弹飞,汉语普通话
让子弹飞,四川话
让子弹飞,山西话
千与千寻,日语
花样男子,日语
4D肉蒲团之扶桑千人斩,粤语
青春期,汉语普通话
变形金刚4：绝迹重生,英语
花样男子,日语
速度与激情,英语
加勒比海盗,英语
龙门飞甲,普通话
龙门飞甲,粤语
喜爱夜蒲2,中文
色戒,藏语
色戒,拉达克语
色戒,印地语
情人节,英语
电锯惊魂,英语
长城,英语
长城,汉语普通话
这个杀手不太冷,英语
这个杀手不太冷,普通话
这个杀手不太冷,配音版
少年派的奇幻漂流,英语
少年派的奇幻漂流,泰米尔语
少年派的奇幻漂流,普通话
七宗罪,英语
射雕英雄传,普通话
射雕英雄传,粤语
教父,英语
教父,意大利语
教父,拉丁语
情人节,泰语
阿甘正传,英语
霸王别姬,普通话
不二神探,汉语普通话
不二神探,粤语
乱世佳人,英语
四平青年,汉语普通话
四平青年,东北话
天空之城,日语
情书,日语
蜗居,普通话
生化危机 6,英语
暹罗之恋,泰语
索多玛120天,意大利语
索多玛120天,法语
索多玛120天,德语
万圣节,英语
行尸走肉,英语
爱情,韩语中文字幕
钢铁侠3,英语
钢铁侠3,普通话
寂静岭,英语
寂静岭,粤语
电锯惊魂,英语
3D豪情,粤语
3D豪情,日语
诛仙,普通话
鹿鼎记,粤语
当幸福来敲门,英语
赵氏孤儿,汉语普通话
爱在身边,普通话
死神来了,英语
辛亥革命,粤语
辛亥革命,汉语普通话
龙猫,日语
钢铁侠,英语
钢铁侠,乌尔都语
钢铁侠,波斯语
钢铁侠,阿拉伯语
钢铁侠,匈牙利语[3]
色·戒,上海话
色·戒,汉语普通话
色·戒,英语
色·戒,粤语
色·戒,日语
饥饿游戏,英语
重庆,普通话
重庆,重庆方言
普罗米修斯,英语
普罗米修斯,盖尔语
感官世界,日语
钱学森,普通话
乱世佳人,汉语
乱世佳人,粤语
敢死队2,英语
倩女幽魂,粤语
倩女幽魂,普通话
我是传奇,英语
我是传奇,粤语
白鹿原,陕西关中方言
吸血鬼,英语
情书,英语
情书,英语
性暴力档案之三奸2,粤语
青春失乐园,普通话
青春期3,普通话
宫锁沉香,普通话
画皮,汉语普通话
鸿门宴,普通话
鸿门宴,粤语
五十度灰,英语
速度与激情,英语
大话西游,粤语
大话西游,普通话
大话西游,闽南语
爱,法语
爱,英语
V字仇杀队,英语
爱,匈牙利语
爱,德语
星际穿越,英语
密爱,韩语
山楂树之恋,汉语普通话
晚娘,泰语；英语
晚娘2,泰语
后会无期,普通话
死神来了,英语
沉默的羔羊,英语
银河护卫队,英语
环太平洋,英语
玉蒲团,粤语
敢死队,英语
敢死队,普通话
敢死队,配音版
傲慢与偏见,英语
西西里的美丽传说,意大利语
西西里的美丽传说,拉丁语
同桌的你,普通话
玉蒲团,粤语
人在囧途,普通话
玉蒲团,粤语
喜爱夜蒲3,粤语
玉蒲团,粤语
玉蒲团,广东话
玉蒲团,粤语
教父,英语
教父,意大利语
教父,拉丁语
