from_name,to_name
步步惊心,穿越
步步惊心,爱情
一路向西,爱情
一路向西,情色
一路向西,喜剧
笑傲江湖,动作
暮光之城,爱情
北京爱情故事,爱情
爱情公寓,剧情
爱情公寓,爱情
金瓶梅,古装
金瓶梅,色情片
小时代,青春
小时代,剧情
小时代,爱情
AV,剧情
复仇者联盟,动作
复仇者联盟,科幻
复仇者联盟,奇幻
复仇者联盟,冒险
十二生肖,动作
十二生肖,喜剧
十二生肖,冒险
十二生肖,悬疑
十二生肖,剧情
金瓶梅,剧情
喜爱夜蒲,爱情
致我们终将逝去的青春,爱情
致我们终将逝去的青春,青春
十二生肖,神话
十二生肖,历史
十二生肖,民俗
泰坦尼克号,剧情
泰坦尼克号,爱情
金瓶梅,剧情
西游·降魔篇,喜剧
西游·降魔篇,奇幻
西游·降魔篇,冒险
哈利·波特,剧情
哈利·波特,家庭
哈利·波特,奇幻
哈利·波特,冒险
仙剑奇侠传,古装
仙剑奇侠传,言情
仙剑奇侠传,玄幻
鲁迅,剧情
鲁迅,文艺
鲁迅,传记
红楼梦,戏曲
红楼梦,越剧电影
水浒传,动作
水浒传,剧情
泰坦尼克号,剧情
泰坦尼克号,动作
泰坦尼克号,爱情
泰坦尼克号,历史
泰坦尼克号,灾难[1]
进击的巨人,科幻
进击的巨人,动漫改编
失恋33天,爱情
生活大爆炸,喜剧
生活大爆炸,幽默
生活大爆炸,情景剧
生活大爆炸,美剧
西游记,神话
西游记,武打
西游记,黄梅调
西游记,喜剧
盗梦空间,动作
盗梦空间,悬疑
盗梦空间,惊悚
盗梦空间,科幻
黑执事,悬疑
黑执事,惊悚
2012,动作
速度与激情7,动作
速度与激情7,犯罪
速度与激情7,剧情
雷锋,人物
生化危机,动作
倚天屠龙记,剧情
倚天屠龙记,动作
非诚勿扰,爱情
怪侠一枝梅,动作
怪侠一枝梅,犯罪
怪侠一枝梅,喜剧
怪侠一枝梅,动作
古惑仔,剧情
古惑仔,动作
古惑仔,犯罪
城市猎人,爱情
城市猎人,动作
城市猎人,喜剧
肖申克的救赎,剧情
肖申克的救赎,犯罪
僵尸,剧情
僵尸,动作
僵尸,恐怖
金陵十三钗,剧情
金陵十三钗,战争
金陵十三钗,历史
诸葛亮,历史
诸葛亮,战争
盗墓笔记,冒险
盗墓笔记,动作
盗墓笔记,悬疑
阿凡达,动作
阿凡达,科幻
阿凡达,剧情
死亡笔记,奇幻
死亡笔记,悬疑
死亡笔记,恐怖
死亡笔记,悬疑
死亡笔记,剧情
死亡笔记,科幻
天涯明月刀,功夫
天涯明月刀,武术
色即是空,喜剧
色即是空,爱情
色即是空,情色
色即是空,韩国
色即是空,搞笑
色即是空,青春
蝴蝶效应,科幻
蝴蝶效应,惊悚
蝴蝶效应,剧情
赛尔号之寻找凤凰神兽,动画
苹果,剧情
苹果,故事
生化危机,动作
生化危机,惊悚
生化危机,科幻
初恋这件小事,喜剧
初恋这件小事,校园
初恋这件小事,青春
双色球,剧情片
下水道的美人鱼,惊悚
男人帮,剧情
男人帮,爱情
男人帮,励志
黄色,剧情
色欲迷墙,剧情
色欲迷墙,爱情
色欲迷墙,情色
秘密花园,喜剧
秘密花园,爱情
秘密花园,奇幻
阿凡达,惊悚
阿凡达,剧情
匆匆那年,校园
匆匆那年,爱情
武林外传,喜剧
武林外传,动作
武林外传,剧情
幸福的黄色电影,喜剧
变形金刚,动作
变形金刚,科幻
变形金刚,冒险
蜜桃成熟时33D,剧情
男人帮,文艺剧情
苹果,剧情
苹果,爱情
苹果,彩色
让子弹飞,剧情
让子弹飞,喜剧
千与千寻,剧情
千与千寻,动画
千与千寻,奇幻
花样男子,爱情
4D肉蒲团之扶桑千人斩,色情电影
青春期,励志
青春期,青春系列
青春期,微电影
变形金刚4：绝迹重生,动作
变形金刚4：绝迹重生,科幻
变形金刚4：绝迹重生,冒险
花样男子,爱情
速度与激情,动作\犯罪\剧情\冒险
加勒比海盗,动作
加勒比海盗,冒险
加勒比海盗,魔幻
龙门飞甲,剧情
喜爱夜蒲2,情色
喜爱夜蒲2,伦理
喜爱夜蒲2,成人
喜爱夜蒲2,剧情
喜爱夜蒲2,现代
色即是空,网络小说
色戒,剧情
色戒,爱情
色戒,情色
色戒,冒险
情人节,喜剧
情人节,爱情
电锯惊魂,恐怖
电锯惊魂,惊悚
长城,魔幻
长城,动作
长城,冒险
长城,奇幻
这个杀手不太冷,动作片
少年派的奇幻漂流,剧情
少年派的奇幻漂流,冒险
少年派的奇幻漂流,3D
七宗罪,剧情
射雕英雄传,剧情
教父,剧情
教父,惊悚
教父,犯罪
情人节,爱情
情人节,喜剧
情人节,奇幻
阿甘正传,剧情
阿甘正传,传记
阿甘正传,爱情
阿甘正传,励志
霸王别姬,剧情
霸王别姬,爱情
不二神探,犯罪
不二神探,动作
不二神探,喜剧
不二神探,剧情
乱世佳人,爱情
叶问,动作
四平青年,喜剧
四平青年,友情
四平青年,爱情
四平青年,剧情
四平青年,网络剧
天空之城,奇幻
天空之城,冒险
天空之城,动漫
情书,爱情
蜗居,剧情
蜗居,都市
蜗居,家庭
蜗居,爱情
生化危机 6,动作
生化危机 6,惊悚
生化危机 6,科幻
生化危机 6,冒险
叶问,剧情
叶问,武侠
叶问,年代
暹罗之恋,爱情
索多玛120天,剧情
万圣节,恐怖
万圣节,悬疑
万圣节,恐怖
万圣节,惊悚
行尸走肉,剧情
爱情,爱情
钢铁侠3,动作
钢铁侠3,科幻
钢铁侠3,冒险
寂静岭,剧情
电锯惊魂,犯罪
3D豪情,情色
3D豪情,喜剧
诛仙,古装
诛仙,玄幻
鹿鼎记,动作
奋斗,爱情
当幸福来敲门,传记
当幸福来敲门,剧情
赵氏孤儿,剧情
赵氏孤儿,古装
赵氏孤儿,历史
爱在身边,爱情
死神来了,恐怖
死神来了,惊悚
死神来了,悬疑
死神来了,惊险
辛亥革命,历史
龙猫,动画
钢铁侠,动作
钢铁侠,冒险
钢铁侠,科幻
色·戒,剧情
饥饿游戏,剧情
饥饿游戏,惊险
重庆,剧情
普罗米修斯,冒险
普罗米修斯,科幻
普罗米修斯,惊悚
感官世界,情色
钱学森,剧情
钱学森,传记
乱世佳人,剧情
乱世佳人,战争
乱世佳人,爱情
敢死队2,动作
敢死队2,冒险
辛亥革命,历史
辛亥革命,战争
倩女幽魂,奇幻
倩女幽魂,爱情
倩女幽魂,剧情
我是传奇,动作
白鹿原,历史
吸血鬼,恐怖
吸血鬼,奇幻
情书,剧情
情书,喜剧
情书,爱情
性暴力档案之三奸2,三级片
性暴力档案之三奸2,色情
青春失乐园,喜剧
青春失乐园,剧情
青春失乐园,歌舞
青春期3,青春
新金瓶梅3D,静态电影
新金瓶梅3D,人像写真
新金瓶梅3D,写真集
宫锁沉香,爱情
宫锁沉香,古装
星球大战,动作
星球大战,战争
星球大战,科幻
星球大战,惊悚
星球大战,冒险
奋斗,励志
画皮,剧情
画皮,恐怖
鸿门宴,剧情
鸿门宴,战争
鸿门宴,动作
五十度灰,爱情
五十度灰,剧情
速度与激情,动作
速度与激情,犯罪
速度与激情,惊悚
大话西游,爱情
大话西游,动作
大话西游,奇幻
大话西游,冒险
大话西游,喜剧
大话西游,悲剧
爱,剧情
V字仇杀队,科幻片
爱,剧情
星际穿越,冒险
星际穿越,科幻
密爱,剧情
密爱,爱情
天天向上,京剧
天天向上,儿童
山楂树之恋,爱情片
晚娘,剧情；情色
晚娘2,剧情
晚娘2,伦理
后会无期,喜剧
后会无期,爱情
后会无期,冒险
死神来了,恐怖
死神来了,剧情
沉默的羔羊,惊悚
银河护卫队,喜剧
银河护卫队,动作
银河护卫队,冒险
银河护卫队,科幻
环太平洋,动作
环太平洋,科幻
环太平洋,冒险
玉蒲团,情色
敢死队,惊悚
敢死队,冒险
敢死队,动作
百合,剧情
百合,社会
傲慢与偏见,剧情
傲慢与偏见,爱情
西西里的美丽传说,剧情
西西里的美丽传说,爱情
西西里的美丽传说,战争
同桌的你,剧情
同桌的你,爱情
同桌的你,青春
玉蒲团,幻想
玉蒲团,剧情
玉蒲团,冒险
玉蒲团,喜剧
人在囧途,喜剧
玉蒲团,情色
玉蒲团,伦理
玉蒲团,惊悚
玉蒲团,古装
喜爱夜蒲3,剧情
喜爱夜蒲3,色情
玉蒲团,成人
玉蒲团,爱情
玉蒲团,伦理
教父,剧情
教父,犯罪
教父,惊悚
歌舞青春,爱情
歌舞青春,家庭
歌舞青春,歌舞
歌舞青春,青春
咒怨,惊悚
咒怨,恐怖
咒怨,恐惧
咒怨,悬疑
人再囧途之泰囧,喜剧
人再囧途之泰囧,剧情
人再囧途之泰囧,冒险
热血高校,动作
玉蒲团,喜剧
玉蒲团,情色
玉蒲团,成人电影
玉蒲团,情色电影
狄仁杰之神都龙王,动作
狄仁杰之神都龙王,悬疑
狄仁杰之神都龙王,剧情
美丽人生,战争
美丽人生,剧情
斯巴达克斯,历史
斯巴达克斯,动作
斯巴达克斯,传记
斯巴达克斯,剧情
斯巴达克斯,剧情
蜂蜜,剧情
美国队长,科幻
美国队长,动作
断背山,爱情
速度与激情5,动作
速度与激情5,犯罪
速度与激情5,剧情
速度与激情5,惊悚
云图,剧情
云图,科幻
云图,悬疑
复仇者联盟2：奥创纪元,科幻
复仇者联盟2：奥创纪元,动作
复仇者联盟2：奥创纪元,冒险
